nr,genres,popularity,spoken_languages,vote_average,keywords,budget,adult
83,"[35, 80]",7.164,['English'],8.2,"[502, 567, 1366, 4262, 4523, 7149, 9227, 9897, 10776, 11488, 15394, 15395, 15396, 18047, 34117, 167542, 207592, 227944, 227945]",1350000,False
84,"[18, 28, 53, 80]",9.611,['German'],8.1,"[74, 220, 1449, 1468, 1752, 5340, 6259, 10291, 12999, 15009, 18078, 156764, 176182, 179874, 244516]",0,False
85,"[16, 35, 18]",10.809,"['English', 'Yiddish']",7.9,"[715, 3344, 4132, 4555, 5310, 5657, 6733, 7508, 7868, 8778, 9957, 10121, 10226, 160741, 167982, 169620, 172383, 181318]",8240000,False
86,"[9648, 53]",27.752,['English'],8.2,"[328, 331, 828, 1453, 2231, 2669, 2887, 3973, 9748, 9826, 9856, 10705, 11469, 12565, 12570, 12670, 33874, 34117, 157171, 161248, 191527, 207268, 229787]",9000000,False
87,"[18, 878]",12.631,"['No Language', 'German']",8.2,"[312, 818, 1001, 1436, 1761, 2964, 4034, 4565, 5966, 6662, 10028, 10125, 11222, 14544, 14796, 154802, 179874, 185459, 201028, 232988, 234109, 234110, 239175, 244516, 255786]",1300000,False
88,[18],40.97,"['English', 'Irish']",8.0,"[396, 1252, 1721, 2660, 2792, 3737, 4327, 4613, 5212, 10614, 11322, 14707, 156330, 167982, 198585, 199658, 206662, 207999]",30000000,False
89,"[35, 18]",12.175,"['English', 'No Language']",8.3,"[1382, 1546, 3338, 5386, 5571, 7025, 9253, 12999, 33618, 33619, 33620, 154802]",1500000,False
90,"[12, 14, 16]",31.04,['Japanese'],8.4,"[1721, 1994, 3341, 5275, 5276, 5277, 5650, 6054, 7376, 11004, 11181, 13153, 15001, 180549, 210024]",26500000,False
91,"[16, 35, 10751]",134.347,['English'],7.8,"[1299, 1332, 1930, 3256, 3289, 4210, 6107, 7939, 9713, 9823, 12011, 12392, 14569, 18035, 33465, 167106, 189115, 204006, 236560]",115000000,False
92,"[12, 35, 14]",13.055,"['French', 'Latin', 'English']",7.8,"[113, 345, 392, 770, 1400, 3966, 3968, 3969, 5160, 8201, 9755, 10466, 10982, 11327, 11487, 34117, 161817, 177129, 235499, 236316]",400000,False
93,[35],13.868,"['English', 'Latin']",7.8,"[835, 1405, 3570, 3571, 3574, 4109, 8201, 9755, 11001, 18126, 34117, 161817, 236316]",4000000,False
94,"[35, 18]",10.08,['English'],8.0,"[521, 1399, 2944, 4674, 5744, 6083, 9031, 9862, 11663, 11937, 14588, 181659, 195541, 206515, 207999, 239276, 239277, 239279, 239280, 239281]",1500000,False
